,ID,Label,Hemi,x,y,z,n_vertices
0,1,LH_VisCent_ExStr_1,L,-36.599293,-61.906208,-20.348524,39
1,2,LH_VisCent_ExStr_2,L,-24.463154,-74.61497,-10.052019,45
2,3,LH_VisCent_ExStr_3,L,-34.26953,-81.59437,-16.829065,38
3,4,LH_VisCent_ExStr_4,L,-16.485485,-89.27161,-12.313358,33
4,5,LH_VisCent_ExStr_5,L,-24.810244,-97.04,-12.976199,55
5,6,LH_VisCent_ExStr_6,L,-39.902348,-87.16553,-5.2939935,37
6,7,LH_VisCent_Striate_1,L,-10.114969,-98.571266,-4.7457113,57
7,8,LH_VisCent_ExStr_7,L,-44.659336,-73.02819,1.3964334,60
8,9,LH_VisCent_ExStr_8,L,-25.414276,-95.26364,3.2277596,44
9,10,LH_VisCent_ExStr_9,L,-38.587894,-84.02926,9.959544,63
10,11,LH_VisCent_ExStr_10,L,-13.4953375,-97.53636,14.918092,51
11,12,LH_VisCent_ExStr_11,L,-27.079807,-83.98965,16.640596,50
12,13,LH_VisPeri_ExStrInf_1,L,-26.094313,-55.41095,-9.502341,66
13,14,LH_VisPeri_ExStrInf_2,L,-12.647002,-62.793728,-6.329771,43
14,15,LH_VisPeri_ExStrInf_3,L,-7.3570156,-77.101974,-6.07443,35
15,16,LH_VisPeri_ExStrInf_4,L,-13.188233,-44.316006,-5.0363617,26
16,17,LH_VisPeri_ExStrInf_5,L,-14.912047,-58.17997,1.0545976,45
17,18,LH_VisPeri_StriCal_1,L,-6.372499,-89.354935,2.4395306,55
18,19,LH_VisPeri_StriCal_2,L,-8.892412,-76.47878,8.3778925,72
19,20,LH_VisPeri_ExStrSup_1,L,-20.710543,-67.00912,5.3802347,55
20,21,LH_VisPeri_ExStrSup_2,L,-3.6893737,-84.48477,23.347822,44
21,22,LH_VisPeri_ExStrSup_3,L,-13.708996,-70.86429,19.242826,43
22,23,LH_VisPeri_ExStrSup_4,L,-16.523941,-88.57044,28.577734,38
23,24,LH_VisPeri_ExStrSup_5,L,-13.842002,-80.153755,34.277714,32
24,25,LH_SomMotA_1,L,-8.791237,-14.583912,45.606995,55
25,26,LH_SomMotA_2,L,-39.00912,-16.24503,45.14899,44
26,27,LH_SomMotA_3,L,-46.843975,-19.224676,52.756092,47
27,28,LH_SomMotA_4,L,-46.56312,-29.82899,54.805523,68
28,29,LH_SomMotA_5,L,-37.148663,-24.766365,49.15157,32
29,30,LH_SomMotA_6,L,-10.09939,-37.270412,52.1779,31
30,31,LH_SomMotA_7,L,-4.838319,-24.230913,54.38499,30
31,32,LH_SomMotA_8,L,-4.033012,-9.007898,57.827103,34
32,33,LH_SomMotA_9,L,-35.48752,-19.957737,60.36812,77
33,34,LH_SomMotA_10,L,-33.542934,-28.540802,59.073498,44
34,35,LH_SomMotA_11,L,-30.489923,-36.455894,61.226536,46
35,36,LH_SomMotA_12,L,-25.393427,-11.633996,60.78606,62
36,37,LH_SomMotA_13,L,-21.619007,-26.73323,61.04908,34
37,38,LH_SomMotA_14,L,-9.741013,-42.463615,69.25056,57
38,39,LH_SomMotA_15,L,-4.1436815,-25.634754,67.64174,70
39,40,LH_SomMotA_16,L,-16.358023,-14.579416,69.560356,49
40,41,LH_SomMotA_17,L,-18.930113,-31.58877,65.43158,54
41,42,LH_SomMotA_18,L,-20.450077,-39.69531,67.86651,44
42,43,LH_SomMotA_19,L,-12.393689,-29.735138,69.412094,30
43,44,LH_SomMotB_Aud_1,L,-49.237476,-12.382003,-0.15507597,54
44,45,LH_SomMotB_Aud_2,L,-56.287926,-23.262861,5.634601,85
45,46,LH_SomMotB_Ins_1,L,-36.78059,-24.221844,8.616426,42
46,47,LH_SomMotB_S2_1,L,-38.874474,-8.605376,12.734646,66
47,48,LH_SomMotB_S2_2,L,-36.904877,-26.918552,17.20276,56
48,49,LH_SomMotB_Aud_3,L,-58.89928,-37.536446,14.489401,44
49,50,LH_SomMotB_Aud_4,L,-42.022865,-34.909603,12.616468,52
50,51,LH_SomMotB_S2_3,L,-47.72817,-14.261655,13.108011,43
51,52,LH_SomMotB_S2_4,L,-60.707577,-3.9130201,9.814674,42
52,53,LH_SomMotB_S2_5,L,-48.89181,-25.353666,16.91154,38
53,54,LH_SomMotB_S2_6,L,-60.168373,-19.748842,18.12352,37
54,55,LH_SomMotB_Cent_1,L,-59.108334,-5.0931387,21.868155,52
55,56,LH_SomMotB_Cent_2,L,-62.8917,-11.930682,30.219675,40
56,57,LH_SomMotB_Cent_3,L,-50.786804,-10.271883,28.245386,39
57,58,LH_SomMotB_Cent_4,L,-50.26948,-9.6449,40.542015,46
58,59,LH_SomMotB_Cent_5,L,-46.369396,-17.45871,37.78312,37
59,60,LH_DorsAttnA_TempOcc_1,L,-44.711994,-40.9856,-24.298357,39
60,61,LH_DorsAttnA_TempOcc_2,L,-31.751179,-41.48072,-23.697605,40
61,62,LH_DorsAttnA_TempOcc_3,L,-47.865307,-54.468483,-15.719943,62
62,63,LH_DorsAttnA_TempOcc_4,L,-44.046734,-69.80737,-9.337371,50
63,64,LH_DorsAttnA_ParOcc_1,L,-46.510345,-68.18669,10.68715,54
64,65,LH_DorsAttnA_ParOcc_2,L,-34.176334,-83.21746,22.152641,26
65,66,LH_DorsAttnA_SPL_1,L,-26.492588,-69.35117,27.53599,34
66,67,LH_DorsAttnA_SPL_2,L,-20.867283,-76.851425,39.83945,42
67,68,LH_DorsAttnA_SPL_3,L,-23.808487,-63.971607,42.19687,43
68,69,LH_DorsAttnA_SPL_4,L,-28.1703,-57.623367,44.991005,32
69,70,LH_DorsAttnA_SPL_5,L,-34.87011,-51.701744,50.99665,40
70,71,LH_DorsAttnA_SPL_6,L,-15.171648,-69.52827,54.400253,62
71,72,LH_DorsAttnA_SPL_7,L,-26.929451,-60.254715,58.121235,48
72,73,LH_DorsAttnB_PostC_1,L,-59.951157,-24.749954,29.524738,49
73,74,LH_DorsAttnB_PostC_2,L,-54.155304,-23.248806,37.981525,47
74,75,LH_DorsAttnB_PostC_3,L,-51.403633,-33.014057,40.53286,49
75,76,LH_DorsAttnB_PostC_4,L,-42.556183,-30.70066,38.556515,37
76,77,LH_DorsAttnB_PostC_5,L,-35.507015,-38.531723,44.10623,64
77,78,LH_DorsAttnB_PostC_6,L,-30.089064,-45.148514,58.963234,49
78,79,LH_DorsAttnB_PostC_7,L,-9.851927,-57.41593,61.985928,44
79,80,LH_DorsAttnB_PostC_8,L,-20.669514,-54.36215,63.40921,47
80,81,LH_DorsAttnB_PostC_9,L,-15.293038,-50.47924,70.830635,26
81,82,LH_DorsAttnB_FEF_1,L,-41.897865,-4.4667087,50.069954,43
82,83,LH_DorsAttnB_FEF_2,L,-25.646988,-0.3407832,51.32169,42
83,84,LH_DorsAttnB_FEF_3,L,-30.016565,-7.6427684,49.79412,31
84,85,LH_DorsAttnB_PrCv_1,L,-49.787514,1.1581194,36.54659,40
85,86,LH_SalVentAttnA_ParOper_1,L,-53.44034,-35.580963,21.65051,55
86,87,LH_SalVentAttnA_ParOper_2,L,-58.108696,-46.123158,25.971952,46
87,88,LH_SalVentAttnA_ParOper_3,L,-60.333786,-37.72006,34.236538,41
88,89,LH_SalVentAttnA_Ins_1,L,-40.22618,1.5029668,-7.594449,86
89,90,LH_SalVentAttnA_Ins_2,L,-40.897213,-15.909292,-4.397327,47
90,91,LH_SalVentAttnA_Ins_3,L,-32.92918,19.667053,7.6296015,62
91,92,LH_SalVentAttnA_Ins_4,L,-36.279545,4.8232365,9.712961,43
92,93,LH_SalVentAttnA_FrOper_1,L,-50.783012,0.26716152,3.696988,47
93,94,LH_SalVentAttnA_FrOper_2,L,-51.920166,8.822271,12.245027,53
94,95,LH_SalVentAttnA_ParMed_1,L,-12.761609,-26.09693,41.292187,59
95,96,LH_SalVentAttnA_ParMed_2,L,-14.226166,-39.862366,46.701065,48
96,97,LH_SalVentAttnA_ParMed_3,L,-7.593915,-48.14486,57.538807,39
97,98,LH_SalVentAttnA_FrMed_1,L,-6.9755516,0.5017848,42.007027,68
98,99,LH_SalVentAttnA_FrMed_2,L,-7.241183,8.612938,47.18672,47
99,100,LH_SalVentAttnA_FrMed_3,L,-9.509119,-4.442275,68.97362,36
100,101,LH_SalVentAttnB_PFCl_1,L,-39.528053,47.035187,10.580192,38
101,102,LH_SalVentAttnB_PFCl_2,L,-30.79662,40.86039,24.733875,55
102,103,LH_SalVentAttnB_PFCl_3,L,-37.93174,32.112522,35.254547,40
103,104,LH_SalVentAttnB_Ins_1,L,-32.690395,18.384352,-10.165191,31
104,105,LH_SalVentAttnB_Ins_2,L,-32.646057,26.356207,-0.83802396,44
105,106,LH_SalVentAttnB_Ins_3,L,-44.208103,12.396052,1.563626,30
106,107,LH_SalVentAttnB_OFC_1,L,-27.124186,47.237453,-14.502278,29
107,108,LH_SalVentAttnB_PFCmp_1,L,-7.7783732,20.673828,32.399776,58
108,109,LH_LimbicB_OFC_1,L,-12.777617,21.09511,-21.454004,59
109,110,LH_LimbicB_OFC_2,L,-23.792854,21.015478,-20.751968,65
110,111,LH_LimbicB_OFC_3,L,-10.108646,43.753643,-24.582891,68
111,112,LH_LimbicB_OFC_4,L,-3.4350138,19.51997,-20.277994,50
112,113,LH_LimbicB_OFC_5,L,-15.745276,62.3784,-8.7526455,49
113,114,LH_LimbicA_TempPole_1,L,-38.321896,-6.2051706,-42.38471,55
114,115,LH_LimbicA_TempPole_2,L,-25.403225,3.6543467,-39.68754,46
115,116,LH_LimbicA_TempPole_3,L,-26.587557,-11.556964,-33.43417,56
116,117,LH_LimbicA_TempPole_4,L,-52.03133,-23.503176,-33.753098,60
117,118,LH_LimbicA_TempPole_5,L,-40.32485,-22.506882,-26.931759,53
118,119,LH_LimbicA_TempPole_6,L,-32.020252,9.480758,-27.861712,60
119,120,LH_LimbicA_TempPole_7,L,-44.174362,0.9802043,-17.115248,43
120,121,LH_ContA_Temp_1,L,-53.804382,-62.53657,-3.8772886,53
121,122,LH_ContA_IPS_1,L,-29.066069,-72.6785,37.077877,25
122,123,LH_ContA_IPS_2,L,-57.376472,-45.462505,42.954525,33
123,124,LH_ContA_IPS_3,L,-33.48061,-61.598923,41.95499,53
124,125,LH_ContA_IPS_4,L,-44.722805,-44.884148,42.82373,52
125,126,LH_ContA_IPS_5,L,-34.359703,-48.121384,38.090553,48
126,127,LH_ContA_PFCd_1,L,-21.641073,4.9594765,60.124527,58
127,128,LH_ContA_PFClv_1,L,-44.782642,32.97559,10.134366,34
128,129,LH_ContA_PFClv_2,L,-42.80654,36.025528,21.069042,45
129,130,LH_ContA_PFCl_1,L,-48.788963,6.47836,23.994204,65
130,131,LH_ContA_PFCl_2,L,-43.01322,21.47415,25.51127,92
131,132,LH_ContA_PFCl_3,L,-37.34595,7.2492766,30.72173,37
132,133,LH_ContA_Cingm_1,L,-2.633664,3.7938843,30.469145,43
133,134,LH_ContB_Temp_1,L,-58.618366,-37.5672,-21.611408,45
134,135,LH_ContB_Temp_2,L,-60.784004,-49.362915,-10.59283,36
135,136,LH_ContB_IPL_1,L,-47.743103,-63.984066,41.987747,44
136,137,LH_ContB_IPL_2,L,-51.82161,-53.564224,39.676716,45
137,138,LH_ContB_IPL_3,L,-42.395893,-54.590755,40.08941,34
138,139,LH_ContB_PFCd_1,L,-31.634762,13.411087,52.740086,32
139,140,LH_ContB_PFClv_1,L,-42.506947,45.951138,-6.1424866,60
140,141,LH_ContB_PFClv_2,L,-29.212482,54.163315,-0.58346623,35
141,142,LH_ContB_PFClv_3,L,-28.36554,51.253353,11.208181,36
142,143,LH_ContB_PFCmp_1,L,-4.630933,26.827673,45.23563,50
143,144,LH_ContC_pCun_1,L,-12.089161,-69.183846,31.058598,38
144,145,LH_ContC_pCun_2,L,-10.34073,-75.96504,43.737656,35
145,146,LH_ContC_pCun_3,L,-7.0144105,-60.949875,52.383972,39
146,147,LH_ContC_Cingp_1,L,-4.3869905,-39.792847,24.333084,38
147,148,LH_ContC_Cingp_2,L,-3.5828278,-21.336521,29.778816,44
148,149,LH_DefaultA_IPL_1,L,-42.9669,-63.735394,28.449741,60
149,150,LH_DefaultA_IPL_2,L,-39.007614,-74.13699,41.132683,36
150,151,LH_DefaultA_PFCd_1,L,-26.041418,28.019121,38.443077,44
151,152,LH_DefaultA_PFCd_2,L,-20.817278,34.779575,42.817764,41
152,153,LH_DefaultA_PFCd_3,L,-24.957573,18.141687,48.193943,38
153,154,LH_DefaultA_pCunPCC_1,L,-2.9531524,-53.94077,20.344965,38
154,155,LH_DefaultA_pCunPCC_2,L,-5.6882586,-60.061913,30.062073,54
155,156,LH_DefaultA_pCunPCC_3,L,-7.588074,-44.170517,33.68098,44
156,157,LH_DefaultA_pCunPCC_4,L,-2.8226118,-31.749205,39.9585,35
157,158,LH_DefaultA_pCunPCC_5,L,-1.7464522,-15.059025,39.051205,26
158,159,LH_DefaultA_pCunPCC_6,L,-3.6934326,-65.77633,42.05541,28
159,160,LH_DefaultA_pCunPCC_7,L,-6.763016,-50.02742,43.096867,48
160,161,LH_DefaultA_PFCm_1,L,-4.3214264,52.947002,-11.429228,39
161,162,LH_DefaultA_PFCm_2,L,-5.0984826,33.74118,-10.3544445,69
162,163,LH_DefaultA_PFCm_3,L,-7.2477283,55.35235,6.181901,36
163,164,LH_DefaultA_PFCm_4,L,-6.8198757,42.33482,5.6000175,57
164,165,LH_DefaultA_PFCm_5,L,-15.934109,64.9769,8.726823,41
165,166,LH_DefaultA_PFCm_6,L,-5.5259914,31.246235,20.522795,58
166,167,LH_DefaultB_Temp_1,L,-44.933304,11.261076,-33.067997,60
167,168,LH_DefaultB_Temp_2,L,-54.733772,-4.8047576,-29.463182,39
168,169,LH_DefaultB_Temp_3,L,-61.96922,-21.362265,-21.88223,37
169,170,LH_DefaultB_Temp_4,L,-56.434853,-14.280224,-15.863681,70
170,171,LH_DefaultB_Temp_5,L,-59.025604,-37.870216,-6.0077176,67
171,172,LH_DefaultB_Temp_6,L,-51.555004,-27.194487,-7.5978055,44
172,173,LH_DefaultB_IPL_1,L,-43.213955,-58.252216,17.266966,51
173,174,LH_DefaultB_IPL_2,L,-54.677048,-55.46746,25.72922,60
174,175,LH_DefaultB_PFCd_1,L,-5.189559,50.32438,26.754095,73
175,176,LH_DefaultB_PFCd_2,L,-16.431215,54.708706,29.873215,57
176,177,LH_DefaultB_PFCd_3,L,-24.795324,46.00394,28.068684,38
177,178,LH_DefaultB_PFCd_4,L,-9.517293,43.159145,48.53287,28
178,179,LH_DefaultB_PFCd_5,L,-12.843557,25.446674,58.190468,46
179,180,LH_DefaultB_PFCd_6,L,-7.485762,10.652227,64.11332,51
180,181,LH_DefaultB_PFCl_1,L,-41.312943,18.360569,46.28119,53
181,182,LH_DefaultB_PFCl_2,L,-42.887196,4.960774,45.86087,37
182,183,LH_DefaultB_PFCv_1,L,-35.587242,21.501888,-15.767541,59
183,184,LH_DefaultB_PFCv_2,L,-34.595,36.037853,-13.430869,29
184,185,LH_DefaultB_PFCv_3,L,-47.027187,32.845253,-11.222085,35
185,186,LH_DefaultB_PFCv_4,L,-46.199787,28.039122,1.2005616,49
186,187,LH_DefaultB_PFCv_5,L,-52.905163,20.178173,10.552253,42
187,188,LH_DefaultC_IPL_1,L,-42.720886,-76.43541,25.211594,53
188,189,LH_DefaultC_Rsp_1,L,-13.527789,-50.887444,2.267459,32
189,190,LH_DefaultC_Rsp_2,L,-7.049686,-53.851112,7.154676,43
190,191,LH_DefaultC_Rsp_3,L,-14.239659,-62.83452,17.015583,47
191,192,LH_DefaultC_PHC_1,L,-20.928104,-23.449549,-24.590767,41
192,193,LH_DefaultC_PHC_2,L,-31.325373,-35.507935,-18.277187,73
193,194,LH_DefaultC_PHC_3,L,-18.168625,-37.736156,-12.055657,34
194,195,LH_TempPar_1,L,-55.71504,2.3182395,-11.843033,55
195,196,LH_TempPar_2,L,-61.878002,-15.342214,-4.3184805,34
196,197,LH_TempPar_3,L,-62.422894,-34.093822,1.7135104,47
197,198,LH_TempPar_4,L,-52.728374,-43.737988,3.006084,40
